frequency,callsign,state,city,erp,lat,lon,hagl,class,slogan,owner,country,new_format,mlb,nfl,nba,nhl,market,population
100.7,WBIZ-FM,WI,EAU CLAIRE,100.0,44.92883333333333,-91.54208333333334,100.0,C1,Z-100,iHeartMedia,USA,Contemporary Hit Radio,,Packers,,,Eau Claire,"150,000"
102.9,WBLM,ME,PORTLAND,100.0,43.92480555555555,-70.49088888888889,421.0,C0,102.9 WBLM,"Townsquare License, LLC",USA,Rock,,Patriots,,,"Portland, ME","612,700"
97.1,WBNS-FM,OH,COLUMBUS,20.5,39.97116666666667,-83.02766666666666,264.0,B,SPORTS RADIO 97.1 THE FAN,"RADIOHIO, INCORPORATED",USA,Sports,,Browns,,Blue Jackets,"Columbus, OH","1,763,300"
102.9,WBOO,WI,REEDSBURG,3.6,43.592194444444445,-90.01180555555555,66.0,A,B 102.9 / 98.5,"MAGNUM COMMUNICATIONS, INC.",USA,Adult Contemporary,,Packers,,,Madison,"619,500"
100.1,WBRR,PA,BRADFORD,1.65,41.97005555555556,-78.70058333333334,58.0,A,THE HERO 100.1,"RADIO STATION WESB, INC.",USA,Rock,,Bills,,,Olean,"159,200"
99.5,WBUS,PA,CENTRE HALL,0.85,40.75255555555555,-77.75416666666666,104.0,B1,99.5 THE BUS,"Southern Belle Media Family, LLC",USA,Classic Rock,,Steelers,,,,
107.5,WBVE,PA,BEDFORD,0.37,40.01313888888889,-78.55377777777778,53.0,A,B-ROCK 107.5,"CESSNA COMMUNICATIONS, INC.",USA,Classic Rock,,Steelers,,,,
96.7,WBVI,OH,FOSTORIA,3.0,41.10005555555556,-83.47547222222222,77.0,A,CLASSIC HITS 96.7,"TCB HOLDINGS, INC.,  C/O ROPPE CORPORATION",USA,Classic Hits,Reds,Bengals,,,,
92.1,WBVX,KY,CARLISLE,32.0,38.18869444444445,-84.37022222222221,158.0,C2,CLASSIC ROCK 92.1,"L.M. Communications, Inc.",USA,Classic Rock,,Bengals,,,Lexington-Fayette,"537,400"
98.5,WBZ-FM,MA,BOSTON,9.0,42.30758333333333,-71.22363888888889,363.0,B,THE SPORTS HUB,"BEASLEY MEDIA GROUP LICENSES, LLC",USA,Sports,,Patriots,Celtics,Bruins,Boston,"4,463,500"
107.5,WCCN-FM,WI,NEILLSVILLE,100.0,44.591638888888895,-90.61930555555556,137.0,C1,107.5 FM THE ROCK,"CENTRAL WISCONSIN BROADCASTING, INC.",USA,Rock,,Packers,,,,
105.5,WCCP-FM,SC,CLEMSON,20.0,34.63708333333333,-82.70811111111111,96.0,C3,105.5 THE ROAR,"Byrne Acquisition Group, LLC",USA,Sports,,Falcons,,,Greenville-Spartanburg,"1,018,300"
92.7,WCCR-FM,PA,CLARION,3.0,41.24477777777778,-79.26141666666666,46.0,A,POP RADIO,"Southern Belle, LLC",USA,Hot AC,,Steelers,,,,
104.1,WCLE-FM,TN,CALHOUN,2.2,35.26647222222222,-84.83966666666666,103.6,A,MY MIX 104.1,"HARTLINE, LLC",USA,Adult Contemporary,Braves,Titans,,,Chattanooga,"621,200"
99.9,WCMC-FM,NC,HOLLY SPRINGS,26.5,35.67655555555555,-78.53527777777778,198.0,C2,99.9 THE FAN,"WCMC-FM, LLC",USA,Sports,,Panthers,,Hurricanes,Raleigh-Durham,"1,694,400"
96.5,WCMF-FM,NY,ROCHESTER,48.0,43.13483333333333,-77.58488888888888,71.6,B,ROCHESTER'S CLASSIC ROCK 96-5 WCMF,"Audacy License, LLC",USA,Classic Rock,,Bills,,Sabres,"Rochester, NY","1,000,500"
102.5,WCMM,MI,GULLIVER,60.0,45.966638888888895,-86.48819444444445,200.0,C1,WCMM 102.5 THE MOOSE,"AMC PARTNERS ESCANABA, LLC",USA,Country,,Lions,,,,
100.9,WCMP-FM,MN,PINE CITY,25.0,45.90272222222222,-92.95936111111112,82.0,C3,COOL COUNTRY 100.9 FM,"Q MEDIA PROPERTIES, LLC",USA,Country,Twins,Vikings,,,,
97.1,WCOW-FM,WI,SPARTA,100.0,43.96827777777778,-90.85983333333331,113.0,C1,COW 97,"SPARTA-TOMAH BROADCASTING CO., INC.",USA,Country,,Packers,,,La Crosse,"171,000"
98.3,WCQM,WI,PARK FALLS,100.0,45.88216666666667,-90.43766666666669,131.0,C1,98 Q COUNTRY,"Civic Media, Inc.",USA,Country,Brewers,Packers,,,,
96.7,WCSM-FM,OH,CELINA,2.2,40.55283333333333,-84.51716666666667,113.0,A,96.7 THE WAVE,"Buzzards Media, LLC",USA,Hot AC,,Bengals,,,Lima-Van Wert,"239,700"
92.1,WCSR-FM,MI,HILLSDALE,6.0,41.92808333333333,-84.63605555555556,82.0,A,RADIO HILLSDALE,"MCKIBBIN MEDIA GROUP, INC.",USA,Adult Contemporary,,Lions,,,,
96.1,WCTO,PA,EASTON,43.0,40.59847222222223,-75.41997222222223,44.0,B,CAT COUNTRY,Cumulus Media,USA,Country,,Eagles,,,Allentown-Bethlehem,"756,000"
105.7,WCUP,MI,L'ANSE,100.0,47.10075,-88.56538888888889,133.0,C1,EAGLE COUNTRY,KEWEENAW BAY INDIAN COMMUNITY,USA,Country,,Packers,,,,
93.7,WCYE,WI,THREE LAKES,100.0,45.77494444444444,-89.24875,107.0,C1,"COYOTE 93.7, TODAY'S COUNTRY AND THE LEGENDS","HEARTLAND COMM. LICENSE, LLC",USA,Country,,Packers,,,,
